Generation	Average	Best
1	0	0
2	0.0383	0.2368
3	0.1305	0.2671
4	0.1422	0.2653
5	0.1504	0.2497
6	0.1654	0.273
7	0.1674	0.2797
8	0.1704	0.2612
9	0.171	0.3038
10	0.1766	0.2829
11	0.1753	0.2747
12	0.1784	0.2554
13	0.1773	0.291
14	0.1818	0.2783
15	0.1786	0.2714
16	0.1765	0.3005
17	0.1796	0.2826
18	0.1814	0.2784
19	0.1816	0.279
20	0.1759	0.2674
21	0.1775	0.2584
22	0.18	0.2881
23	0.1666	0.2537
24	0.1758	0.3247
25	0.177	0.2799
26	0.1831	0.2856
27	0.179	0.2822
28	0.184	0.2701
29	0.1864	0.2971
30	0.1748	0.2713
31	0.186	0.3244
32	0.1894	0.2921
33	0.1914	0.3332
34	0.1874	0.2942
35	0.186	0.3422
36	0.1839	0.3003
37	0.1934	0.3104
38	0.1952	0.3512
39	0.1974	0.3231
40	0.1887	0.2962
41	0.1847	0.3113
42	0.1994	0.3073
43	0.1948	0.2941
44	0.203	0.3571
45	0.1962	0.3117
46	0.2037	0.3021
47	0.2119	0.3324
48	0.2021	0.3217
49	0.1939	0.3036
50	0.21	0.3006
51	0.1931	0.2972
52	0.2114	0.3065
53	0.2027	0.2927
54	0.2001	0.3228
55	0.2124	0.3124
56	0.2197	0.3229
57	0.2207	0.3597
58	0.208	0.3166
59	0.202	0.315
60	0.2023	0.3407
61	0.2052	0.2913
62	0.2205	0.3121
63	0.2082	0.323
64	0.2159	0.3217
65	0.2174	0.3175
66	0.2116	0.3342
67	0.2168	0.338
68	0.2121	0.3352
69	0.2105	0.3422
70	0.2092	0.312
71	0.2137	0.319
72	0.2167	0.3474
73	0.2196	0.3772
74	0.2217	0.3336
75	0.2197	0.3639
76	0.2217	0.3382
77	0.2121	0.3192
78	0.2151	0.3247
79	0.2274	0.3603
80	0.2238	0.3453
81	0.221	0.314
82	0.2258	0.3465
83	0.2217	0.3186
84	0.2159	0.3011
85	0.22	0.353
86	0.2205	0.3239
87	0.2204	0.3212
88	0.2192	0.3273
89	0.2256	0.3635
90	0.2316	0.3422
91	0.2437	0.4153
92	0.2305	0.3456
93	0.2253	0.3385
94	0.2278	0.3217
95	0.2321	0.3512
96	0.2273	0.3253
97	0.2194	0.3266
98	0.2271	0.3561
99	0.2208	0.3554
100	0.226	0.3334
101	0.22	0.3273
102	0.2165	0.3456
103	0.2206	0.3668
104	0.218	0.345
105	0.2206	0.3799
106	0.2238	0.3502
107	0.2193	0.3448
108	0.2297	0.3664
109	0.2292	0.3726
110	0.2375	0.3534
111	0.2308	0.3669
112	0.2299	0.3797
113	0.23	0.3603
114	0.2322	0.3675
115	0.2454	0.3772
116	0.2386	0.3695
117	0.2324	0.3733
118	0.2274	0.4106
119	0.2396	0.3792
120	0.2437	0.3677
121	0.2438	0.3886
122	0.2399	0.4038
123	0.2342	0.3679
124	0.2354	0.3533
125	0.2455	0.3496
126	0.2388	0.353
127	0.2397	0.3264
128	0.2282	0.3543
129	0.2222	0.3862
130	0.2263	0.3739
131	0.2398	0.4001
132	0.2372	0.3745
133	0.2478	0.3688
134	0.2394	0.3605
135	0.2375	0.37
136	0.2467	0.3672
137	0.2457	0.3534
138	0.2458	0.379
139	0.2448	0.3895
140	0.259	0.373
141	0.2621	0.4165
142	0.2408	0.3806
143	0.2369	0.389
144	0.2458	0.3719
145	0.2482	0.3753
146	0.2483	0.3666
147	0.2505	0.402
148	0.2567	0.3744
149	0.2586	0.3929
150	0.2653	0.3944
151	0.2669	0.3815
152	0.2565	0.3776
153	0.2768	0.4083
154	0.2681	0.4254
155	0.2637	0.3955
156	0.2673	0.4101
157	0.2659	0.3883
158	0.2724	0.4235
159	0.268	0.392
160	0.2712	0.3819
161	0.2599	0.3777
162	0.2691	0.4039
163	0.2677	0.4206
164	0.2774	0.4529
165	0.2782	0.4148
166	0.2765	0.4156
167	0.2645	0.4044
168	0.283	0.448
169	0.2801	0.4282
170	0.2723	0.4454
171	0.2663	0.4154
172	0.2645	0.4139
173	0.2894	0.4375
174	0.2809	0.4277
175	0.284	0.4416
176	0.2767	0.4444
177	0.2832	0.4445
178	0.2938	0.469
179	0.2837	0.472
180	0.2888	0.443
181	0.3031	0.484
182	0.2948	0.4578
183	0.2876	0.513
184	0.3044	0.4876
185	0.3022	0.5125
186	0.303	0.4404
187	0.3018	0.5145
188	0.3144	0.4636
189	0.3107	0.4379
190	0.3155	0.5209
191	0.3347	0.5497
192	0.3164	0.4925
193	0.3191	0.4882
194	0.3029	0.473
195	0.3142	0.4983
196	0.3029	0.4824
197	0.2961	0.49
