Generation	Average	Best
1	0	0
2	0.9576	0.9729
3	0.8296	0.9754
4	0.7588	0.9737
5	0.7957	0.9694
6	0.7463	0.9707
7	0.7775	0.9715
8	0.8013	0.968
9	0.7984	0.9691
10	0.7183	0.972
11	0.7422	0.9672
12	0.7161	0.9727
13	0.7541	0.9705
14	0.7707	0.9748
15	0.7489	0.9725
16	0.7929	0.9755
17	0.7387	0.9675
18	0.7524	0.9725
19	0.7603	0.9659
20	0.7566	0.9659
21	0.7638	0.9693
22	0.7468	0.9618
23	0.7391	0.966
24	0.7774	0.9648
25	0.7454	0.9658
26	0.7007	0.9654
27	0.6906	0.962
28	0.7178	0.9691
29	0.7626	0.9666
30	0.6876	0.9692
31	0.7557	0.9671
32	0.7327	0.9658
33	0.7486	0.9654
34	0.7532	0.965
35	0.6977	0.9698
36	0.6907	0.9635
37	0.7326	0.9649
38	0.7871	0.9607
39	0.771	0.9651
40	0.7553	0.9632
41	0.7309	0.9656
42	0.6921	0.9647
43	0.7283	0.9557
44	0.6929	0.9627
45	0.637	0.96
46	0.7036	0.9616
47	0.6854	0.9537
48	0.7088	0.9609
49	0.709	0.966
50	0.7218	0.9646
51	0.6932	0.9622
52	0.7084	0.9676
53	0.7239	0.9615
54	0.715	0.9688
55	0.7444	0.9594
56	0.7044	0.9623
57	0.7349	0.9601
58	0.6798	0.9548
59	0.7144	0.9573
60	0.7092	0.9621
61	0.7008	0.9705
62	0.7051	0.9631
63	0.7409	0.965
64	0.7141	0.9624
65	0.6908	0.9626
66	0.7379	0.9721
67	0.7177	0.9562
68	0.7297	0.9579
69	0.7164	0.9615
70	0.7069	0.9654
71	0.6789	0.956
72	0.697	0.955
73	0.7112	0.9608
74	0.7079	0.9633
75	0.7286	0.9616
76	0.7097	0.9576
77	0.6911	0.9649
78	0.6654	0.9624
79	0.6975	0.9624
80	0.6924	0.9586
81	0.7369	0.9639
82	0.7232	0.9598
83	0.7335	0.9677
84	0.7458	0.9627
85	0.7217	0.9715
86	0.7345	0.9683
87	0.7216	0.9644
88	0.7434	0.9646
89	0.7096	0.9656
90	0.7258	0.9597
91	0.7869	0.9648
92	0.7792	0.9739
93	0.7381	0.9679
94	0.7206	0.9675
95	0.7274	0.9649
96	0.7078	0.9584
97	0.7082	0.9652
98	0.7371	0.9647
99	0.7698	0.9641
100	0.7569	0.9647
101	0.7622	0.9596
102	0.759	0.9633
103	0.7352	0.9612
104	0.7549	0.9598
105	0.7194	0.9644
106	0.6791	0.9593
107	0.662	0.9629
108	0.7519	0.9568
109	0.7572	0.9607
110	0.7503	0.9623
111	0.7182	0.9594
112	0.7062	0.9605
113	0.7563	0.9598
114	0.725	0.9575
115	0.7263	0.9609
116	0.6981	0.954
117	0.6979	0.9518
118	0.6781	0.9648
119	0.7192	0.9552
120	0.6848	0.9551
121	0.7197	0.956
122	0.7342	0.9584
123	0.6842	0.9639
124	0.6922	0.9534
125	0.6776	0.9584
126	0.6538	0.9614
127	0.6807	0.965
128	0.7311	0.9583
129	0.6777	0.9584
130	0.7153	0.9532
131	0.7504	0.9666
132	0.7492	0.9624
133	0.6927	0.963
134	0.7214	0.9667
135	0.6994	0.9648
136	0.7051	0.9655
137	0.7202	0.9675
138	0.753	0.9602
139	0.759	0.9693
140	0.7338	0.9736
141	0.6878	0.9664
142	0.7345	0.9703
143	0.7827	0.9645
144	0.7078	0.9688
145	0.7266	0.966
146	0.7525	0.9649
147	0.7377	0.9584
148	0.7498	0.9593
149	0.7181	0.9548
150	0.71	0.9559
151	0.7305	0.9652
152	0.7381	0.9603
153	0.7305	0.9611
154	0.7049	0.9592
155	0.7042	0.9611
156	0.6917	0.9645
157	0.7584	0.9569
158	0.7532	0.9652
159	0.7025	0.9657
160	0.7264	0.9633
161	0.7168	0.9686
162	0.74	0.9627
163	0.7093	0.9684
164	0.6555	0.96
165	0.7003	0.9662
166	0.704	0.9688
167	0.7627	0.9649
168	0.7501	0.9652
169	0.7209	0.9674
170	0.7199	0.9668
171	0.6879	0.9653
172	0.6968	0.9685
173	0.6788	0.9685
174	0.6874	0.9686
175	0.6466	0.9605
176	0.7365	0.965
177	0.727	0.9665
