Generation	Average	Best
1	0	0
2	0.269	0.7235
3	0.3196	0.7362
4	0.3519	0.7762
5	0.3923	0.7498
6	0.4325	0.7412
7	0.4658	0.762
8	0.4528	0.7617
9	0.5387	0.7874
10	0.5307	0.7653
11	0.5531	0.8078
12	0.5302	0.788
13	0.5378	0.8005
14	0.5411	0.761
15	0.5325	0.7808
16	0.5252	0.8634
17	0.5453	0.8815
18	0.5743	0.8272
19	0.5721	0.87
20	0.5812	0.9253
21	0.6167	0.9075
22	0.5955	0.8803
23	0.6167	0.8311
24	0.5855	0.8541
25	0.562	0.8837
26	0.5867	0.836
27	0.6022	0.81
28	0.6031	0.7975
29	0.6084	0.7801
30	0.596	0.788
31	0.6075	0.8981
32	0.6032	0.7805
33	0.6162	0.8831
34	0.6185	0.812
35	0.6182	0.8858
36	0.6373	0.8491
37	0.598	0.9063
38	0.6033	0.8993
39	0.587	0.8917
40	0.5978	0.8995
41	0.5891	0.8875
42	0.6216	0.9099
43	0.6099	0.8886
44	0.6195	0.8726
45	0.623	0.9108
46	0.6327	0.9327
47	0.6174	0.9039
48	0.599	0.9166
49	0.5941	0.945
50	0.6076	0.94
51	0.6074	0.9613
52	0.6018	0.8948
53	0.6137	0.963
54	0.6162	0.949
55	0.6127	0.9575
56	0.635	0.9471
57	0.6117	0.9485
58	0.5962	0.876
59	0.6115	0.8993
60	0.6113	0.9154
61	0.6104	0.9096
62	0.6217	0.9239
63	0.6101	0.9116
64	0.5986	0.9122
65	0.5922	0.9356
66	0.5719	0.9137
67	0.5928	0.948
68	0.5856	0.9057
69	0.6132	0.9462
70	0.5948	0.8972
71	0.5905	0.9422
72	0.5876	0.9024
73	0.5953	0.9007
74	0.5873	0.7739
75	0.5876	0.8381
76	0.5844	0.8114
77	0.5786	0.816
78	0.5831	0.9036
79	0.6089	0.9193
80	0.5937	0.8641
81	0.5862	0.936
82	0.5916	0.9155
83	0.5565	0.9249
84	0.6065	0.9288
85	0.592	0.9549
86	0.5943	0.9469
87	0.6081	0.9434
88	0.5914	0.9345
89	0.6071	0.9129
90	0.5892	0.916
91	0.5976	0.8439
92	0.5842	0.8614
93	0.5977	0.8596
94	0.5773	0.8548
95	0.6161	0.8563
96	0.5528	0.8815
97	0.5714	0.9208
98	0.5853	0.8483
99	0.5888	0.835
100	0.6033	0.8432
101	0.5992	0.8621
102	0.6052	0.867
103	0.6248	0.9
104	0.5891	0.8181
105	0.5698	0.9329
106	0.598	0.9168
107	0.6183	0.9148
108	0.6288	0.9223
109	0.5754	0.9111
110	0.6008	0.9269
111	0.5929	0.9272
112	0.5595	0.9206
113	0.5768	0.9295
114	0.5718	0.9035
115	0.6043	0.8291
116	0.5957	0.8115
117	0.6137	0.8185
118	0.6124	0.8151
119	0.5853	0.9053
120	0.61	0.8222
121	0.584	0.9198
122	0.6091	0.8459
123	0.6112	0.8272
124	0.6112	0.827
125	0.598	0.8249
126	0.5899	0.8439
127	0.5994	0.8146
128	0.5817	0.8428
129	0.58	0.8332
130	0.5797	0.8553
131	0.5762	0.8433
132	0.598	0.8263
