Generation	Average	Best
1	0	0
2	0.0755	0.2617
3	0.1536	0.2654
4	0.16	0.3366
5	0.1678	0.2664
6	0.192	0.3323
7	0.1969	0.3456
8	0.1906	0.2936
9	0.2058	0.3299
10	0.2028	0.3048
11	0.201	0.3132
12	0.1951	0.3043
13	0.1866	0.2657
14	0.1877	0.3104
15	0.1898	0.2918
16	0.1864	0.2807
17	0.1851	0.3373
18	0.1852	0.2971
19	0.1916	0.3696
20	0.2031	0.3327
21	0.2035	0.337
22	0.2107	0.3031
23	0.2138	0.3055
24	0.2164	0.3257
25	0.2158	0.3433
26	0.2189	0.316
27	0.226	0.3791
28	0.2128	0.3105
29	0.2211	0.3653
30	0.2119	0.3223
31	0.2262	0.3162
32	0.2234	0.339
33	0.2226	0.3376
34	0.2221	0.3279
35	0.2098	0.3185
36	0.2108	0.3031
37	0.2141	0.3267
38	0.2117	0.3177
39	0.2075	0.3382
40	0.2105	0.3316
41	0.2134	0.3337
42	0.2037	0.3043
43	0.2128	0.3297
44	0.2103	0.3156
45	0.2033	0.3256
46	0.2141	0.3126
47	0.2022	0.3201
48	0.2054	0.2857
49	0.204	0.3309
50	0.2145	0.3191
51	0.221	0.3453
52	0.2119	0.3301
53	0.2112	0.324
54	0.2078	0.3104
55	0.2099	0.3265
56	0.2175	0.3175
57	0.216	0.3141
58	0.2206	0.3221
59	0.213	0.3335
60	0.2221	0.3413
61	0.2136	0.2984
62	0.2184	0.3373
63	0.2116	0.3091
64	0.2189	0.3253
65	0.2134	0.334
66	0.2171	0.3394
67	0.2283	0.3139
68	0.2274	0.3573
69	0.2225	0.3485
70	0.2295	0.3382
71	0.2278	0.3327
72	0.222	0.3381
73	0.2251	0.3396
74	0.2265	0.3577
75	0.2229	0.3303
76	0.2219	0.3309
77	0.2219	0.3175
78	0.2225	0.3296
79	0.2239	0.3209
80	0.2221	0.316
81	0.2255	0.334
82	0.2201	0.3896
83	0.222	0.3177
84	0.2259	0.3464
85	0.232	0.3374
86	0.2258	0.3205
87	0.2366	0.3428
88	0.2281	0.3116
89	0.2234	0.3421
90	0.2266	0.3159
91	0.2265	0.3457
92	0.2307	0.3544
93	0.2187	0.3329
94	0.2254	0.3337
95	0.2251	0.3283
96	0.2261	0.3231
97	0.2283	0.3431
98	0.2401	0.3589
99	0.2366	0.3505
100	0.2292	0.3253
101	0.2346	0.3325
102	0.2314	0.334
103	0.2299	0.3695
104	0.2397	0.3669
105	0.2321	0.3354
106	0.2255	0.368
107	0.2309	0.3654
108	0.2363	0.3516
109	0.2274	0.3276
110	0.2285	0.351
111	0.2388	0.3436
112	0.2373	0.3731
113	0.2312	0.3206
114	0.2375	0.3616
115	0.2439	0.3899
116	0.2414	0.3347
117	0.2498	0.3575
118	0.2434	0.3797
119	0.241	0.3598
120	0.2389	0.3888
121	0.2283	0.3699
122	0.2302	0.371
123	0.2337	0.3975
124	0.2363	0.3607
125	0.2375	0.3635
126	0.2279	0.3278
127	0.2403	0.3444
128	0.2426	0.3827
129	0.2467	0.3753
130	0.2532	0.4147
131	0.2513	0.3901
132	0.248	0.3592
133	0.2549	0.3841
134	0.2451	0.3581
135	0.2503	0.3825
136	0.2535	0.3733
137	0.255	0.3777
