Generation	Average	Best
1	0	0
2	0.2475	0.6093
3	0.2936	0.8668
4	0.3294	0.8167
5	0.3608	0.9003
6	0.4384	0.9521
7	0.4858	0.942
8	0.5228	0.9466
9	0.5396	0.9465
10	0.5642	0.9418
11	0.581	0.9445
12	0.5863	0.9441
13	0.6037	0.9564
14	0.5861	0.9548
15	0.6085	0.9532
16	0.5903	0.9563
17	0.626	0.9474
18	0.61	0.9585
19	0.6169	0.9531
20	0.6206	0.9564
21	0.6396	0.9648
22	0.6639	0.9536
23	0.6328	0.9563
24	0.6132	0.9507
25	0.6525	0.9642
26	0.6743	0.9606
27	0.6981	0.96
28	0.7051	0.9599
29	0.685	0.959
30	0.6485	0.961
31	0.6541	0.962
32	0.7136	0.9639
33	0.6771	0.9614
34	0.6627	0.9515
35	0.6981	0.9467
36	0.6806	0.9614
37	0.6797	0.9647
38	0.7006	0.9586
39	0.6907	0.9495
40	0.6788	0.9473
41	0.7184	0.954
42	0.6694	0.9596
43	0.662	0.9486
44	0.672	0.9502
45	0.6912	0.9543
46	0.6532	0.9565
47	0.6298	0.9608
48	0.6455	0.9622
49	0.6923	0.958
50	0.6615	0.9667
51	0.7051	0.9605
52	0.7325	0.9566
53	0.689	0.9583
54	0.6678	0.9592
55	0.6765	0.964
56	0.625	0.9585
57	0.6541	0.961
58	0.6368	0.959
59	0.6761	0.9576
60	0.6569	0.964
61	0.7095	0.955
62	0.7082	0.9584
63	0.7079	0.9562
64	0.6959	0.9601
65	0.6749	0.961
66	0.6906	0.9606
67	0.7275	0.965
68	0.754	0.9612
69	0.7364	0.9648
70	0.7291	0.9604
71	0.7058	0.9566
72	0.6515	0.9621
73	0.6844	0.9618
74	0.7072	0.966
75	0.774	0.9656
76	0.7038	0.9624
77	0.6678	0.968
78	0.6544	0.9679
79	0.6901	0.9625
80	0.6976	0.973
81	0.704	0.9627
82	0.709	0.9632
83	0.6868	0.9613
84	0.6476	0.961
85	0.7233	0.9667
86	0.6557	0.9647
87	0.6067	0.9621
88	0.6728	0.9651
89	0.7	0.9655
90	0.7248	0.9628
91	0.7293	0.9637
92	0.7302	0.9641
93	0.7146	0.9652
94	0.741	0.9614
95	0.7253	0.9602
96	0.7466	0.9626
97	0.7377	0.9644
98	0.7447	0.9623
99	0.7678	0.9679
100	0.7669	0.9622
101	0.7025	0.9638
102	0.6996	0.9571
103	0.6688	0.9565
104	0.7096	0.9668
105	0.7285	0.9603
106	0.6671	0.9636
107	0.7	0.9683
108	0.6512	0.9652
109	0.6823	0.9659
110	0.6856	0.9652
111	0.703	0.9652
112	0.6697	0.9643
113	0.6856	0.9662
114	0.7012	0.9642
115	0.7076	0.9701
116	0.7474	0.9703
117	0.7075	0.9599
118	0.7525	0.961
119	0.7147	0.9636
120	0.7374	0.9609
121	0.7035	0.9667
122	0.7281	0.9601
123	0.6968	0.9611
124	0.746	0.9632
125	0.7432	0.9597
126	0.6785	0.9656
127	0.6973	0.9652
128	0.6862	0.9711
129	0.678	0.9638
130	0.6719	0.9583
131	0.7581	0.9633
132	0.73	0.962
133	0.735	0.968
134	0.7506	0.9638
135	0.7098	0.9639
136	0.7526	0.9633
137	0.7126	0.9621
138	0.6821	0.9642
139	0.6599	0.9659
140	0.6788	0.9688
141	0.7369	0.9639
142	0.7117	0.962
143	0.7017	0.9633
144	0.721	0.9634
145	0.7329	0.9689
146	0.7313	0.9629
147	0.6999	0.9671
148	0.6787	0.9689
149	0.7	0.9679
150	0.7081	0.9623
151	0.696	0.9669
152	0.728	0.9666
153	0.6987	0.9696
154	0.6988	0.972
155	0.6867	0.965
156	0.7417	0.9604
157	0.6833	0.9658
158	0.6977	0.9688
159	0.7545	0.964
160	0.7392	0.9677
161	0.7386	0.9662
162	0.746	0.9648
163	0.7721	0.9731
164	0.7259	0.9687
165	0.7039	0.9625
166	0.7089	0.9626
167	0.7294	0.967
168	0.7393	0.9659
169	0.7582	0.9668
170	0.7557	0.9662
171	0.7398	0.9641
172	0.7074	0.9647
173	0.7439	0.9648
174	0.731	0.9628
175	0.7212	0.959
176	0.718	0.9604
177	0.7134	0.9627
178	0.7111	0.9639
179	0.7456	0.9643
180	0.6996	0.967
181	0.6916	0.9603
182	0.6813	0.9649
183	0.7294	0.9662
184	0.715	0.9643
185	0.7347	0.9648
186	0.6999	0.9669
187	0.7122	0.9664
188	0.7022	0.9665
189	0.7119	0.9628
190	0.7012	0.9642
191	0.672	0.9636
192	0.6906	0.9604
193	0.6698	0.9633
194	0.7066	0.9567
195	0.7053	0.9643
196	0.7215	0.9683
197	0.6865	0.9665
198	0.7179	0.9723
199	0.6797	0.9707
200	0.6438	0.966
201	0.6687	0.9619
202	0.7113	0.9699
203	0.6273	0.9703
204	0.6536	0.9707
205	0.6362	0.9768
206	0.6972	0.9734
207	0.7004	0.9708
208	0.7063	0.9708
209	0.6773	0.9614
210	0.6855	0.9646
211	0.729	0.9671
212	0.7447	0.9661
213	0.6829	0.9656
214	0.7348	0.9649
215	0.7473	0.9727
216	0.6871	0.9577
217	0.7268	0.962
218	0.7312	0.9667
219	0.7185	0.9606
220	0.7302	0.9627
221	0.7322	0.9677
222	0.7165	0.9659
223	0.7197	0.9637
224	0.731	0.9682
225	0.7364	0.9653
226	0.7431	0.9699
227	0.6996	0.9624
228	0.6743	0.9601
229	0.7632	0.9551
230	0.7298	0.9518
231	0.7438	0.9603
232	0.7584	0.9578
233	0.7249	0.962
234	0.7063	0.9645
235	0.7362	0.9639
236	0.726	0.9642
237	0.7275	0.9651
238	0.7171	0.9605
239	0.7219	0.9661
240	0.6887	0.9629
241	0.7075	0.9663
242	0.7155	0.9622
243	0.764	0.9692
244	0.7853	0.9698
245	0.734	0.969
246	0.753	0.9615
247	0.7274	0.9589
248	0.7353	0.9602
249	0.7325	0.9598
250	0.7294	0.9594
251	0.7352	0.9603
252	0.761	0.9571
253	0.7415	0.9573
254	0.7286	0.9577
255	0.746	0.9688
256	0.7528	0.9574
257	0.7532	0.9591
258	0.728	0.962
259	0.7524	0.9605
260	0.6686	0.9586
261	0.652	0.9588
262	0.6672	0.9548
263	0.6771	0.9508
264	0.7181	0.9563
265	0.6879	0.9604
266	0.7022	0.9506
267	0.6895	0.9568
268	0.695	0.956
269	0.6864	0.9552
270	0.7254	0.9592
271	0.712	0.9593
272	0.7324	0.9639
273	0.7151	0.9564
274	0.7599	0.9565
275	0.7351	0.9623
276	0.7251	0.9626
277	0.7197	0.9539
278	0.7455	0.963
279	0.7758	0.9599
280	0.7445	0.9602
281	0.7272	0.9603
282	0.7269	0.962
283	0.7266	0.9649
284	0.7693	0.9622
285	0.7267	0.9576
286	0.7184	0.9597
287	0.7503	0.9644
288	0.6799	0.9551
289	0.7452	0.9559
290	0.7197	0.9608
291	0.7078	0.9507
292	0.6956	0.954
293	0.6931	0.9575
294	0.6573	0.9434
295	0.679	0.9519
296	0.7152	0.962
297	0.719	0.9541
298	0.726	0.9611
299	0.7333	0.9524
300	0.7424	0.9478
301	0.6974	0.9503
302	0.7298	0.9499
303	0.6987	0.9588
304	0.7297	0.9452
305	0.7173	0.9559
306	0.731	0.945
307	0.6902	0.9576
308	0.6594	0.9432
309	0.7143	0.9485
310	0.7126	0.9597
311	0.7057	0.9528
312	0.6971	0.9501
313	0.7014	0.9538
314	0.6976	0.9555
315	0.6825	0.958
316	0.658	0.9374
317	0.6417	0.9498
318	0.6818	0.9486
319	0.654	0.9344
320	0.6715	0.9492
321	0.6358	0.9509
322	0.6289	0.9518
323	0.668	0.9508
324	0.6813	0.9513
325	0.6775	0.9502
326	0.6837	0.9487
327	0.7221	0.9582
328	0.7337	0.9635
329	0.6881	0.9586
330	0.7156	0.9617
