Generation	Average	Best
1	0	0
2	0.2526	0.4972
3	0.2721	0.4366
4	0.2858	0.5408
5	0.2973	0.5092
6	0.2992	0.4277
7	0.3065	0.5265
8	0.3279	0.5275
9	0.3268	0.5521
10	0.3371	0.5284
11	0.3279	0.5718
12	0.3301	0.5514
13	0.349	0.5719
14	0.3306	0.5908
15	0.3653	0.6349
16	0.3525	0.7236
17	0.3698	0.7351
18	0.3732	0.7681
19	0.4028	0.7476
20	0.389	0.598
21	0.4055	0.655
22	0.4099	0.5806
23	0.4175	0.5576
24	0.426	0.5858
25	0.4321	0.6998
26	0.4204	0.5566
27	0.4274	0.5786
28	0.4306	0.6449
29	0.4379	0.7138
30	0.44	0.6868
31	0.4472	0.746
32	0.4659	0.7659
33	0.4712	0.7505
34	0.4752	0.7339
35	0.476	0.7694
36	0.4848	0.7529
37	0.4882	0.7941
38	0.5238	0.7344
39	0.5407	0.7523
40	0.5371	0.7267
41	0.5237	0.7095
42	0.5448	0.7094
43	0.5417	0.7354
44	0.5458	0.7478
45	0.5732	0.7714
46	0.6102	0.7427
47	0.6176	0.759
48	0.6142	0.7673
49	0.6106	0.7458
50	0.621	0.7433
51	0.6244	0.7675
52	0.6115	0.7431
53	0.6226	0.7661
54	0.6061	0.7894
55	0.6127	0.7542
56	0.6064	0.7406
57	0.6037	0.7575
58	0.6075	0.7401
59	0.5924	0.779
60	0.615	0.7764
61	0.5973	0.7533
62	0.5995	0.7422
63	0.6288	0.7575
64	0.6364	0.7701
65	0.6165	0.7777
66	0.6332	0.7766
67	0.6183	0.761
68	0.6189	0.7431
69	0.6161	0.7688
70	0.621	0.7745
71	0.6165	0.7894
72	0.6158	0.7523
73	0.619	0.7398
74	0.6377	0.7644
75	0.6418	0.7511
76	0.6411	0.757
77	0.6068	0.7561
78	0.627	0.7677
79	0.6104	0.7831
80	0.628	0.7777
81	0.6451	0.7878
82	0.6362	0.7588
83	0.6318	0.782
84	0.6436	0.8113
85	0.6304	0.7609
86	0.6507	0.7694
87	0.6095	0.7995
88	0.622	0.7877
89	0.6285	0.7748
90	0.6253	0.7781
91	0.6334	0.7494
92	0.6285	0.759
93	0.6143	0.7793
94	0.617	0.7703
95	0.6348	0.7653
96	0.6332	0.7884
97	0.6295	0.7575
98	0.6422	0.7715
99	0.6429	0.7695
100	0.6339	0.7765
101	0.6297	0.7732
102	0.6256	0.8174
103	0.6236	0.7831
104	0.6303	0.8066
105	0.6383	0.7904
106	0.643	0.7803
107	0.6398	0.7745
108	0.6509	0.8023
109	0.6493	0.7884
110	0.6526	0.8041
111	0.6496	0.8022
112	0.6369	0.7889
113	0.6459	0.8062
114	0.6152	0.7897
115	0.6486	0.7821
116	0.6522	0.8168
117	0.6494	0.8126
118	0.6455	0.7898
119	0.645	0.811
120	0.6187	0.8056
121	0.6431	0.8172
122	0.6502	0.7916
123	0.6404	0.7744
124	0.6382	0.7845
125	0.6461	0.7766
126	0.6383	0.7893
127	0.6418	0.7691
128	0.6577	0.8047
129	0.6678	0.8095
130	0.6462	0.806
131	0.643	0.8023
132	0.6382	0.831
133	0.6416	0.7685
134	0.63	0.785
135	0.6365	0.7841
136	0.64	0.7797
137	0.6332	0.8092
138	0.6265	0.8047
139	0.6398	0.803
140	0.6371	0.7819
141	0.635	0.7741
142	0.6278	0.8044
143	0.618	0.7749
144	0.6183	0.792
145	0.6213	0.7776
146	0.6204	0.7826
147	0.6325	0.8266
148	0.6304	0.8076
149	0.6411	0.7869
150	0.6421	0.7909
151	0.6294	0.7919
152	0.6386	0.8036
153	0.638	0.823
154	0.6593	0.8339
155	0.646	0.8378
156	0.6367	0.816
157	0.6207	0.8045
158	0.6242	0.824
159	0.6195	0.7727
160	0.619	0.7792
161	0.637	0.7903
162	0.615	0.8348
163	0.6385	0.8098
164	0.6269	0.786
165	0.6211	0.7736
166	0.6276	0.8077
167	0.6266	0.802
168	0.6242	0.8212
169	0.6087	0.8632
170	0.6211	0.8404
171	0.6193	0.8068
172	0.5999	0.8233
173	0.5963	0.8329
174	0.6035	0.8142
175	0.606	0.824
176	0.6083	0.8239
177	0.6067	0.8198
178	0.6051	0.8228
179	0.6423	0.8143
180	0.6287	0.8448
181	0.641	0.8545
182	0.6531	0.8259
183	0.6438	0.8123
184	0.6306	0.8164
185	0.6004	0.8559
186	0.6234	0.8115
187	0.6117	0.8513
188	0.6273	0.8135
189	0.6251	0.8108
190	0.6257	0.8461
191	0.644	0.8516
