Generation	Average	Best
1	0	0
2	0.0564	0.2465
3	0.1223	0.2542
4	0.1525	0.2968
5	0.1611	0.2774
6	0.1545	0.2444
7	0.1565	0.2526
8	0.166	0.2491
9	0.168	0.2817
10	0.176	0.2858
11	0.1791	0.274
12	0.1848	0.2903
13	0.1817	0.2699
14	0.1787	0.291
15	0.1784	0.2738
16	0.1933	0.2664
17	0.1943	0.321
18	0.1939	0.3205
19	0.1942	0.2831
20	0.2111	0.2957
21	0.2043	0.3181
22	0.1992	0.2942
23	0.1955	0.3051
24	0.1965	0.2971
25	0.2036	0.3048
26	0.2051	0.3221
27	0.204	0.3549
28	0.201	0.3094
29	0.201	0.3067
30	0.2072	0.3539
31	0.2038	0.3225
32	0.2069	0.2797
33	0.1978	0.3035
34	0.2072	0.3042
35	0.205	0.2984
36	0.2015	0.3199
37	0.2088	0.3224
38	0.2051	0.3544
39	0.2026	0.2953
40	0.2015	0.3124
41	0.1981	0.318
42	0.1979	0.3088
43	0.2114	0.3402
44	0.2058	0.3192
45	0.1993	0.3191
46	0.2049	0.3134
47	0.2105	0.3192
48	0.2059	0.2976
49	0.2023	0.3085
50	0.2098	0.3679
51	0.2201	0.3792
52	0.211	0.4356
53	0.2153	0.3586
54	0.2188	0.3618
55	0.2122	0.3192
56	0.2239	0.3272
57	0.2256	0.3228
58	0.2097	0.298
59	0.2174	0.3501
60	0.2204	0.3362
61	0.216	0.3896
62	0.2117	0.3222
63	0.213	0.3318
64	0.204	0.3032
65	0.2103	0.3189
66	0.1973	0.2941
67	0.2095	0.3041
68	0.2105	0.317
69	0.2144	0.3389
70	0.2138	0.3138
71	0.216	0.3517
72	0.219	0.316
73	0.2161	0.3622
74	0.2182	0.3859
75	0.2229	0.4044
76	0.2236	0.3215
77	0.2137	0.3358
78	0.2169	0.3561
79	0.2156	0.3374
80	0.2149	0.3238
81	0.2252	0.3582
82	0.221	0.3349
83	0.222	0.3417
84	0.2197	0.3242
85	0.2253	0.3556
86	0.2284	0.3522
87	0.2232	0.3377
88	0.2254	0.3471
89	0.2378	0.3205
90	0.2358	0.3582
91	0.2261	0.3453
92	0.2247	0.3467
93	0.2279	0.3448
94	0.2302	0.3511
95	0.2322	0.3434
96	0.2214	0.334
97	0.2282	0.3234
98	0.231	0.3456
99	0.2432	0.3392
100	0.2319	0.3216
101	0.2427	0.3382
