Generation	Average	Best
1	0	0
2	0.2392	0.3989
3	0.2582	0.505
4	0.2839	0.5023
5	0.2886	0.4417
6	0.3035	0.4771
7	0.2927	0.452
8	0.3004	0.4464
9	0.304	0.4833
10	0.3045	0.5121
11	0.3035	0.4375
12	0.3089	0.4891
13	0.2882	0.3959
14	0.3054	0.4503
15	0.3034	0.4581
16	0.301	0.435
17	0.3075	0.4739
18	0.3005	0.4626
19	0.3077	0.4614
20	0.317	0.4921
21	0.3202	0.4621
22	0.313	0.498
23	0.3031	0.4795
24	0.3148	0.5251
25	0.3139	0.4689
26	0.326	0.5417
27	0.3338	0.4782
28	0.3376	0.5178
29	0.325	0.5752
30	0.3253	0.5915
31	0.3338	0.5481
32	0.3308	0.5671
33	0.3322	0.5759
34	0.3397	0.5035
35	0.3368	0.6237
36	0.3492	0.5389
37	0.3572	0.5691
38	0.3617	0.5643
39	0.3508	0.5675
40	0.361	0.5997
41	0.3703	0.6266
42	0.3752	0.6294
43	0.3819	0.6198
44	0.3949	0.5978
45	0.3818	0.5734
46	0.3806	0.6099
47	0.3743	0.5865
48	0.3859	0.551
49	0.3909	0.5448
50	0.3831	0.561
51	0.4009	0.5746
52	0.4036	0.5643
53	0.4097	0.6042
54	0.431	0.6352
55	0.4138	0.6069
56	0.4004	0.6093
57	0.4032	0.5942
58	0.3864	0.5924
59	0.3984	0.6143
60	0.4172	0.6329
61	0.4186	0.5946
62	0.4093	0.6143
63	0.4197	0.6571
64	0.4198	0.6157
65	0.4041	0.5678
66	0.4161	0.6128
67	0.4235	0.5874
68	0.4295	0.6025
69	0.4305	0.6065
70	0.4259	0.6036
71	0.4265	0.6272
72	0.4188	0.6039
73	0.4282	0.5785
74	0.4398	0.6035
75	0.4395	0.6131
76	0.4281	0.6224
77	0.4365	0.6815
78	0.4373	0.6484
79	0.4445	0.6253
80	0.4404	0.6258
81	0.4297	0.5947
82	0.4421	0.6472
83	0.4206	0.6381
84	0.4239	0.6204
85	0.4113	0.6307
86	0.4141	0.6138
87	0.4047	0.6013
88	0.4226	0.5999
89	0.4231	0.5951
90	0.4106	0.6037
91	0.4212	0.6802
92	0.4405	0.6149
93	0.4382	0.6452
94	0.4344	0.6588
95	0.418	0.6082
96	0.4301	0.6478
97	0.4469	0.6577
98	0.4355	0.6337
99	0.4336	0.5925
100	0.4198	0.6451
101	0.4096	0.6434
102	0.4193	0.6526
103	0.4114	0.6023
104	0.4114	0.6294
105	0.4235	0.6615
106	0.4328	0.6646
107	0.438	0.6509
108	0.4418	0.6605
109	0.4437	0.642
110	0.443	0.6337
111	0.4572	0.6834
112	0.4605	0.6446
113	0.4557	0.6564
114	0.4518	0.6672
115	0.4528	0.6047
116	0.4394	0.6393
117	0.4401	0.6504
118	0.448	0.6321
119	0.4442	0.6607
120	0.4172	0.6318
121	0.4233	0.654
122	0.4466	0.6529
123	0.4496	0.6766
124	0.4581	0.6608
125	0.4374	0.6547
126	0.4491	0.6781
127	0.4479	0.6828
128	0.4431	0.6502
129	0.4609	0.664
130	0.4617	0.6328
131	0.4627	0.6932
132	0.4567	0.7056
133	0.4616	0.6652
134	0.4466	0.6456
135	0.4666	0.6861
136	0.445	0.6828
137	0.4712	0.6553
138	0.474	0.635
139	0.4917	0.6512
140	0.5054	0.6534
141	0.4807	0.6538
142	0.4918	0.6767
143	0.4627	0.6442
144	0.4848	0.6843
145	0.4635	0.6712
146	0.4769	0.6773
147	0.4685	0.704
148	0.4796	0.6669
149	0.468	0.6728
150	0.4774	0.6392
151	0.4935	0.6588
152	0.4867	0.6543
153	0.4694	0.6535
154	0.4759	0.6776
155	0.4921	0.6585
156	0.4702	0.6705
157	0.4732	0.7131
158	0.4855	0.6722
159	0.4719	0.7261
160	0.466	0.651
161	0.4576	0.6865
162	0.4536	0.6736
163	0.4399	0.662
164	0.4501	0.6812
165	0.4705	0.66
166	0.4736	0.6993
167	0.4507	0.6742
168	0.4647	0.6929
169	0.4449	0.6819
170	0.466	0.6919
171	0.4561	0.6345
172	0.4555	0.6738
173	0.4793	0.6555
174	0.4826	0.6752
175	0.4924	0.6808
176	0.4884	0.6519
177	0.4745	0.6775
178	0.4705	0.7075
179	0.4728	0.7013
180	0.4626	0.6654
181	0.4563	0.6712
182	0.4776	0.6456
183	0.4686	0.6663
184	0.4697	0.6825
185	0.4555	0.6937
186	0.4685	0.6979
187	0.4676	0.6695
188	0.4625	0.7281
189	0.4654	0.6924
190	0.475	0.7376
191	0.4525	0.6772
192	0.4465	0.7189
193	0.4905	0.6929
194	0.4834	0.7238
195	0.4842	0.662
196	0.4821	0.693
197	0.5041	0.7
198	0.4733	0.6846
199	0.4774	0.6599
200	0.4853	0.714
201	0.4744	0.7334
202	0.4885	0.6585
203	0.4757	0.6067
204	0.4787	0.6468
205	0.4849	0.7025
206	0.4799	0.6846
207	0.4836	0.6854
208	0.4915	0.6861
209	0.5002	0.6707
210	0.4915	0.6685
211	0.5012	0.722
212	0.5051	0.6982
213	0.4805	0.6393
214	0.4895	0.6574
215	0.4928	0.6507
216	0.4841	0.6674
217	0.4725	0.666
218	0.4672	0.6738
219	0.4778	0.6528
220	0.4758	0.6817
221	0.4796	0.6532
222	0.4736	0.6448
223	0.4823	0.6746
224	0.4848	0.6556
225	0.4924	0.6442
226	0.4885	0.6614
227	0.4728	0.6929
228	0.4678	0.6615
229	0.4657	0.6699
230	0.481	0.6919
231	0.4897	0.6976
232	0.5067	0.7012
233	0.4948	0.6837
234	0.4845	0.726
235	0.513	0.6821
236	0.5227	0.7141
237	0.5158	0.7087
238	0.4974	0.711
239	0.5033	0.7316
240	0.4994	0.7566
241	0.4979	0.7067
242	0.5203	0.7444
243	0.5228	0.728
244	0.5353	0.7538
245	0.534	0.7157
246	0.5409	0.7136
247	0.5465	0.7102
248	0.5358	0.6863
249	0.5078	0.7235
250	0.5302	0.7498
251	0.5229	0.7536
252	0.5114	0.7283
253	0.5158	0.729
254	0.5208	0.7411
255	0.5289	0.7656
256	0.545	0.7721
257	0.5466	0.7284
258	0.563	0.757
259	0.5628	0.7627
260	0.5841	0.7598
261	0.5909	0.7476
262	0.5942	0.755
263	0.574	0.7454
264	0.5949	0.7581
265	0.593	0.7749
266	0.5719	0.7779
267	0.5742	0.7418
268	0.5676	0.8017
269	0.5774	0.7364
270	0.5702	0.7892
271	0.5561	0.7393
272	0.5354	0.7343
273	0.5623	0.7543
274	0.5731	0.7482
275	0.5601	0.7192
276	0.5798	0.7759
277	0.5837	0.7695
278	0.576	0.8089
279	0.5866	0.7853
280	0.6051	0.7501
281	0.5949	0.7359
282	0.5996	0.7708
283	0.5744	0.7815
284	0.5939	0.7437
285	0.5952	0.7381
286	0.5833	0.7927
287	0.5762	0.7399
288	0.5885	0.7816
289	0.586	0.7977
290	0.5655	0.7784
