Generation	Average	Best
1	0	0
2	0.2495	0.7152
3	0.2824	0.7225
4	0.311	0.7081
5	0.3415	0.7245
6	0.359	0.7875
7	0.4093	0.7349
8	0.4563	0.7436
9	0.4791	0.7452
10	0.4997	0.7716
11	0.5055	0.7531
12	0.5314	0.7379
13	0.5496	0.7804
14	0.5727	0.7588
15	0.5578	0.7753
16	0.6015	0.8102
17	0.5988	0.8049
18	0.5688	0.8488
19	0.5657	0.8071
20	0.5813	0.8026
21	0.5594	0.7751
22	0.5998	0.7977
23	0.6095	0.8001
24	0.636	0.7924
25	0.6108	0.817
26	0.6097	0.7993
27	0.6401	0.8119
28	0.6156	0.7834
29	0.6358	0.8102
30	0.6432	0.8414
31	0.625	0.8209
32	0.6288	0.816
33	0.6169	0.7973
34	0.6274	0.7868
35	0.6411	0.7937
36	0.6429	0.795
37	0.633	0.8178
38	0.6141	0.7997
39	0.6159	0.7951
40	0.6082	0.805
41	0.6025	0.834
42	0.6029	0.8018
43	0.6199	0.8314
44	0.6197	0.8489
45	0.5992	0.8468
46	0.6226	0.8079
47	0.5843	0.8156
48	0.5974	0.8737
49	0.6194	0.8518
50	0.6138	0.8576
51	0.6317	0.8828
52	0.6097	0.8557
53	0.5968	0.8446
54	0.6364	0.8819
55	0.6069	0.8882
56	0.6573	0.8653
57	0.6457	0.8637
58	0.6183	0.8968
59	0.6241	0.8685
60	0.6209	0.8533
61	0.6541	0.9019
62	0.6425	0.9207
63	0.626	0.9041
64	0.6489	0.915
65	0.6192	0.8816
66	0.6119	0.8991
67	0.6129	0.9104
68	0.6325	0.9116
69	0.6257	0.8744
70	0.6332	0.8886
71	0.6206	0.8626
72	0.6391	0.9026
73	0.663	0.8956
74	0.6565	0.9157
75	0.6583	0.911
76	0.6663	0.9
77	0.6556	0.9021
78	0.6506	0.9012
79	0.6285	0.9136
80	0.667	0.878
81	0.6678	0.8906
82	0.6522	0.9108
83	0.6876	0.8881
84	0.6631	0.9084
85	0.65	0.9117
86	0.6382	0.9224
87	0.6406	0.901
88	0.6548	0.9223
89	0.6507	0.9107
90	0.6227	0.9121
91	0.6575	0.9159
92	0.6559	0.9285
93	0.6571	0.9074
94	0.6453	0.9173
95	0.6494	0.9203
96	0.6346	0.9294
97	0.6336	0.8858
98	0.6531	0.9165
99	0.6165	0.92
100	0.6253	0.9004
101	0.6351	0.8996
102	0.666	0.9225
103	0.6394	0.8965
104	0.6244	0.9083
105	0.6274	0.8979
106	0.6566	0.9407
107	0.6643	0.9161
108	0.6978	0.9174
109	0.6529	0.9092
110	0.6457	0.9141
111	0.6486	0.9022
112	0.6518	0.9082
113	0.6568	0.9069
114	0.6487	0.9069
115	0.6463	0.9139
116	0.6415	0.8871
117	0.6295	0.9223
118	0.6319	0.9153
119	0.6161	0.9176
120	0.6506	0.9174
121	0.652	0.942
122	0.6797	0.933
123	0.6899	0.9087
124	0.6671	0.9015
125	0.6596	0.9086
126	0.6633	0.9316
127	0.6557	0.9221
128	0.6846	0.917
129	0.6928	0.9076
130	0.7094	0.953
131	0.6878	0.919
132	0.6879	0.9175
133	0.7025	0.8939
134	0.6684	0.9369
135	0.6713	0.9276
136	0.7096	0.926
137	0.6751	0.938
138	0.6624	0.9305
139	0.6551	0.9279
140	0.6834	0.9184
141	0.6665	0.9178
142	0.6572	0.9233
143	0.6894	0.9487
144	0.6895	0.9313
145	0.7042	0.9233
146	0.7378	0.9384
147	0.7283	0.9388
148	0.7315	0.9394
149	0.6899	0.9192
150	0.6794	0.9349
151	0.7105	0.9128
152	0.6927	0.9227
153	0.6893	0.9233
154	0.6931	0.9344
155	0.7279	0.93
156	0.7173	0.9485
157	0.6901	0.9469
158	0.6763	0.9512
159	0.6944	0.9352
160	0.6929	0.953
161	0.7154	0.9511
162	0.7392	0.9474
163	0.6988	0.9425
164	0.7118	0.9444
165	0.735	0.9543
166	0.7031	0.9615
167	0.7236	0.9508
168	0.7106	0.9479
169	0.6832	0.9536
170	0.6873	0.9473
171	0.7093	0.9608
172	0.6749	0.9368
173	0.7045	0.9296
174	0.7148	0.9316
175	0.7198	0.9391
176	0.6953	0.9227
177	0.7081	0.9571
178	0.6752	0.9305
179	0.6852	0.9559
180	0.7159	0.9499
181	0.7257	0.9358
182	0.7171	0.9247
183	0.6847	0.9337
184	0.6944	0.9438
185	0.682	0.9469
186	0.6632	0.9533
187	0.6959	0.9488
188	0.6968	0.9431
189	0.7023	0.944
190	0.7065	0.9335
191	0.7204	0.9349
192	0.6875	0.9456
193	0.6883	0.9073
194	0.72	0.922
195	0.7177	0.931
196	0.7174	0.917
197	0.7001	0.9192
198	0.702	0.9247
199	0.7313	0.9238
200	0.7211	0.922
201	0.7133	0.899
202	0.6912	0.8798
203	0.6864	0.877
204	0.7025	0.8835
205	0.6721	0.8951
206	0.6923	0.8934
207	0.6915	0.8751
208	0.6967	0.8831
209	0.6828	0.8736
210	0.6839	0.8663
211	0.6903	0.8571
212	0.68	0.8667
213	0.6747	0.8819
214	0.6684	0.8868
215	0.718	0.8742
216	0.7235	0.8823
217	0.7111	0.8834
218	0.6724	0.8843
219	0.6937	0.9106
220	0.7002	0.9039
221	0.702	0.8937
222	0.6962	0.888
223	0.6737	0.902
224	0.7053	0.9223
225	0.6783	0.939
226	0.6844	0.9116
227	0.677	0.9174
228	0.6668	0.9301
229	0.6559	0.9379
230	0.6501	0.9271
231	0.6865	0.944
232	0.7118	0.9512
233	0.6618	0.9346
234	0.6478	0.9232
235	0.6559	0.9304
236	0.6963	0.9272
237	0.6487	0.9178
238	0.6654	0.9365
239	0.6911	0.9383
240	0.7002	0.9453
241	0.6869	0.9411
242	0.6875	0.9377
243	0.6891	0.9398
244	0.7009	0.9431
245	0.6976	0.9478
246	0.7206	0.9472
247	0.7081	0.9437
248	0.707	0.9423
249	0.7055	0.9252
250	0.695	0.9336
251	0.6874	0.9534
252	0.6908	0.9334
253	0.7379	0.9379
254	0.6812	0.9357
255	0.6837	0.9321
256	0.7006	0.935
257	0.7102	0.9069
258	0.706	0.9318
259	0.6931	0.9311
260	0.696	0.9331
261	0.6705	0.9305
262	0.688	0.9293
263	0.6976	0.9536
264	0.6866	0.9387
265	0.715	0.9218
266	0.6991	0.9265
267	0.6244	0.9178
268	0.6647	0.8952
269	0.6518	0.9145
270	0.6637	0.9203
271	0.6522	0.9085
272	0.6855	0.9261
273	0.6968	0.9183
274	0.6977	0.9216
275	0.7027	0.926
276	0.7051	0.9309
277	0.692	0.9297
278	0.678	0.9389
279	0.6626	0.9242
280	0.6683	0.9205
281	0.6805	0.9233
282	0.6985	0.9209
283	0.6818	0.9324
284	0.6694	0.9213
285	0.6407	0.9263
286	0.6671	0.933
287	0.7041	0.9247
288	0.6867	0.9326
289	0.6799	0.9356
290	0.6876	0.9153
291	0.6704	0.943
292	0.6818	0.9377
293	0.6842	0.9338
294	0.6556	0.9228
295	0.6643	0.9265
296	0.6636	0.9298
297	0.6794	0.9126
298	0.6863	0.9141
299	0.7197	0.9361
300	0.6974	0.9337
301	0.7273	0.9254
302	0.7041	0.9246
303	0.7079	0.9398
304	0.6859	0.9169
305	0.6806	0.9316
306	0.6874	0.9288
307	0.6914	0.9291
308	0.6872	0.9248
309	0.7035	0.9421
310	0.7019	0.943
311	0.7073	0.9234
312	0.6818	0.9369
313	0.7353	0.9319
314	0.7067	0.9448
315	0.7345	0.9438
316	0.6883	0.9227
317	0.6961	0.9415
318	0.7332	0.9424
319	0.721	0.9398
320	0.6951	0.9425
321	0.6963	0.933
322	0.6985	0.9214
323	0.688	0.9378
324	0.7182	0.9415
325	0.7271	0.9376
326	0.6898	0.9321
327	0.725	0.9324
328	0.705	0.936
329	0.7203	0.9342
330	0.7327	0.9479
331	0.7572	0.9521
332	0.7203	0.9291
333	0.7003	0.93
334	0.6923	0.916
335	0.6761	0.9236
336	0.7037	0.9223
337	0.7042	0.9251
338	0.6868	0.934
339	0.6817	0.9397
340	0.69	0.9421
341	0.7007	0.9445
342	0.7246	0.9522
343	0.7112	0.9414
344	0.6833	0.9315
345	0.7065	0.9478
346	0.6839	0.9482
347	0.7031	0.9338
348	0.6587	0.9292
349	0.6802	0.9209
350	0.656	0.9304
351	0.6785	0.9453
352	0.7052	0.9424
353	0.6865	0.9405
