Generation	Average	Best
272	0.7509	0.941
273	0.6887	0.9332
274	0.6885	0.9458
275	0.6817	0.958
276	0.6685	0.946
277	0.6705	0.9416
278	0.7269	0.9589
279	0.6697	0.9545
280	0.6729	0.9545
281	0.6315	0.9452
282	0.7098	0.9522
283	0.7015	0.9507
284	0.7361	0.9556
285	0.6919	0.9535
286	0.6884	0.9409
287	0.7262	0.9442
288	0.7435	0.954
289	0.6823	0.9635
290	0.7201	0.9544
291	0.7552	0.9688
292	0.7192	0.9571
293	0.7159	0.9619
294	0.7054	0.9761
295	0.7452	0.9744
296	0.7467	0.9664
297	0.7009	0.9535
298	0.6963	0.9546
299	0.7026	0.9605
300	0.7612	0.9603
301	0.7744	0.9635
302	0.7878	0.9556
303	0.7635	0.9528
304	0.7356	0.9547
305	0.7643	0.9586
306	0.7586	0.9577
307	0.7606	0.9512
308	0.7427	0.9576
309	0.762	0.9626
310	0.7699	0.9538
311	0.7674	0.9495
312	0.7117	0.9512
313	0.7118	0.9549
314	0.7064	0.9519
315	0.7164	0.9486
316	0.7486	0.9558
317	0.7932	0.9554
318	0.747	0.9561
319	0.7017	0.9512
320	0.7163	0.9517
321	0.7223	0.951
322	0.7154	0.9514
323	0.7277	0.9592
324	0.7348	0.9553
325	0.7302	0.9469
326	0.7051	0.9554
327	0.6988	0.9536
328	0.6992	0.9488
329	0.6528	0.9548
330	0.7145	0.9533
331	0.6927	0.973
332	0.7267	0.958
333	0.7197	0.9606
334	0.7499	0.9457
335	0.7454	0.956
336	0.7255	0.9527
337	0.7491	0.9562
338	0.7295	0.9611
339	0.7102	0.9688
340	0.7531	0.9545
341	0.7614	0.9561
342	0.7285	0.9685
343	0.7528	0.9743
344	0.8121	0.9592
345	0.7909	0.9634
346	0.7452	0.974
347	0.7156	0.9613
348	0.7044	0.9567
349	0.7347	0.958
350	0.7419	0.9608
351	0.7495	0.9613
352	0.7435	0.9581
353	0.7449	0.9455
354	0.7478	0.9521
355	0.7656	0.9529
356	0.742	0.9675
357	0.7759	0.9586
358	0.7392	0.9475
359	0.7604	0.9447
360	0.7375	0.9488
361	0.705	0.9522
